text,tokenized_text,homophobia,obscene,insult,racism,sexism,xenophobia
mano segundo billboard forbes bts precisou ads pra ter views kkkkkkk literalmente jogaram rodinha pagou ads nao ainda falaram prática cria dúvidas sobre real popularidade desses clipes falando mvs ads fronta kkk,"['mano', 'segundo', 'Billboard', 'forbe', 'bts', 'precisar', 'ads', 'pra', 'ter', 'views', 'kkkkkkk', 'literalmente', 'jogar', 'rodinha', 'pagar', 'ads', 'nao', 'ainda', 'falar', 'prática', 'criar', 'dúvida', 'sobre', 'real', 'popularidade', 'de esse', 'clipe', 'falar', 'mvs', 'ads', 'frontar', 'kkk']",0,0,0,0,0,0
wanda tom pqp casalzão dois,"['wanda', 'tom', 'pqp', 'casalzãor', 'dois']",0,1,0,0,0,0
acabou sair operação assim kkkkkkkkkkkk,"['acabar', 'sair', 'operação', 'assim', 'kkkkkkkkkkkk']",0,0,0,0,0,0
antes bruges filosofia turismo redenção,"['antes', 'bruges', 'filosofia', 'turismo', 'redençãor']",0,0,0,0,0,0
porra vão abraçar mara bicho desde ontem ressuscita time,"['porra', 'ir', 'abraçar', 'mar', 'bicho', 'desde', 'ontem', 'ressuscitar', 'time']",0,0,0,0,0,0
amanhã duas resenhas eletrônico pra pqp,"['amanhã', 'dois', 'resenha', 'eletrônico', 'pra', 'pqp']",0,1,0,0,0,0
prima salvando rolê vez caralho todos melhores rolês vida,"['prima', 'salvar', 'rolê', 'vez', 'caralho', 'todo', 'bom', 'rolês', 'vida']",0,1,0,0,0,0
pqp interacao seculo passandi mal pqp perfeito entendam perfietossssss,"['pqp', 'interacao', 'seculo', 'passandi', 'mal', 'pqp', 'perfeito', 'entendar', 'perfietossssss']",0,0,0,0,0,0
veio umas teorias loucas cabeça agora pqp assustado,"['vir', 'um', 'teoria', 'louco', 'cabeça', 'agora', 'pqp', 'assustar']",0,1,0,0,0,0
escola morangos burro,"['Escola', 'morango', 'burro']",0,0,1,0,0,0
cara veio aqui falar novo favor partido comunista disse nazista cara mostra arrependido nada noção realidade noção história matou milhares milhares pessoas mundo exclusive nazismo debate comenta intolerância zero,"['carar', 'vir', 'aqui', 'falar', 'novo', 'favor', 'partido', 'comunista', 'dizer', 'nazista', 'cara', 'mostrar', 'arrepender', 'nada', 'noção', 'realidade', 'noção', 'história', 'matar', 'milhar', 'milhar', 'pessoa', 'mundo', 'exclusive', 'nazismo', 'debate', 'comentar', 'intolerância', 'zero']",0,0,1,0,0,0
meeeeeeeeeuuu zzeeeeus céu amigos uns completos imbecis puta pariu mina,"['meeeeeeeeeuuu', 'zzeeeeu', 'céu', 'amigo', 'um', 'completo', 'imbecis', 'puta', 'parir', 'mina']",0,1,1,0,0,0
bandido luladrão roubou brasil bilhões deu países comunistas,"['bander', 'luladrão', 'roubar', 'Brasil', 'bilhão', 'dar', 'país', 'comunista']",0,1,1,0,0,0
total oposto música stupid with love mean girls pqpsmart with luvstupid with math,"['total', 'oposto', 'música', 'stupid', 'With', 'love', 'mean', 'girls', 'pqpsmart', 'With', 'Luvstupid', 'With', 'math']",0,1,0,0,0,0
gracias pau amo,"['gracio', 'pau', 'amo']",0,1,1,0,0,0
amoooooo quero ver,"['amoooooo', 'querer', 'ver']",0,0,0,0,0,0
milícias moscas virtuais emitindo julgamento padre causando briguinhas internet vai rezar julgando pessoas sabia fazia parte tribunal celestial,"['milícia', 'mosco', 'virtual', 'emitir', 'julgamento', 'padre', 'causar', 'briguinha', 'Internet', 'ir', 'rezar', 'julgando', 'pessoa', 'saber', 'fazer', 'parte', 'tribunal', 'celestial']",0,0,0,0,0,0
dropei justamente issoeu conseguia odiar todo mundodá cara nervos pra aguentar personagem infantil babaca,"['dropar', 'justamente', 'issoeu', 'conseguir', 'odiar', 'todo', 'mundodá', 'cara', 'nervo', 'pra', 'aguentar', 'personagem', 'infantil', 'babaco']",0,0,0,0,0,0
deus juan burro kkkkkkk,"['deus', 'juan', 'burro', 'kkkkkkk']",0,0,1,0,0,0
querer defender chamar garoto babaca nesse momento hora aproveitar sentimentos menino pra pedir mil coisas bem kkkkkkkk,"['querer', 'defender', 'chamar', 'garoto', 'babaco', 'em esse', 'momento', 'hora', 'aproveitar', 'sentimento', 'menino', 'pra', 'pedir', 'mil', 'coisa', 'bem', 'kkkkkkkk']",0,0,0,0,0,0
bota feio nisso,"['bota', 'feio', 'em isso']",0,0,1,0,0,0
sério sabia coisa burro enxerga ministros uns,"['sério', 'saber', 'coisa', 'burro', 'enxergar', 'ministro', 'um']",0,1,1,0,0,0
ano sacudindo minion gui john par mim quinta hum john john bts,"['ano', 'sacudir', 'minion', 'gui', 'John', 'par', 'eu', 'quinta', 'hum', 'John', 'John', 'bts']",0,0,0,0,0,0
