tokenized_text,homophobia,obscene,insult,racism,misogyny,xenophobia
"['nivel', 'amizade', 'isi', 'ter', 'insta', 'ter', 'pensar', 'mandar', 'mensagem', 'falano', 'otario', 'falar', 'dnv', 'insta']",False,False,True,False,False,False
"['cara', 'adulterar', 'dado', 'desmascarar', 'ainda', 'querer', 'ficar', 'governo']",False,False,True,False,False,False
"['carar', 'simplesmente', 'grande', 'vencedor', 'história', 'futebol', 'ano', 'gás', 'demais', 'gordo', 'joelho', 'fodir']",False,True,True,False,False,False
"['chorar', 'vei', 'vsf', 'staneio', 'izone', 'nada']",False,True,False,False,False,False
"['eleitor', 'bolsonaro', 'tão', 'ignorante', 'perceber', 'frase', 'abaixo', 'significar', 'seguinte', 'bom', 'falar', 'monte', 'bosta', 'ficar', 'calar', 'ainda', 'transformar', 'imagem', 'bonitinho', 'citação', 'data', 'hahhahahahhahahhahah']",False,True,True,False,False,False
"['ir', 'responder', 'outro', 'conversa', 'cobrar', 'atenção', 'caralho']",False,True,True,False,False,False
"['jack', 'msm', 'música', 'agr', 'saber', 'flodar', 'grande', 'dia']",False,False,False,False,False,False
"['ruim', 'pra', 'pedir', 'desafio', 'técnico', 'azerbaijãor']",False,False,True,False,False,True
"['fico', 'ver', 'pensar', 'desvantagem', 'pop', 'ser', 'cada', 'vez', 'difunder', 'millenium', 'americano', 'tão', 'acostumar', 'gente', 'dançar', 'perfomances', 'coreografia', 'veem', 'dançar', 'verdade', 'sincronia', 'ficar', 'bugar']",False,False,True,False,False,True
"['frio', 'caralho', 'parecer', 'dentro', 'coração']",False,True,True,False,False,False
['mentiroso'],False,False,True,False,False,False
"['onde', 'mexer', 'fede']",False,True,True,False,False,False
"['filho', 'vir', 'primeiro', 'prioridade']",False,False,False,False,False,False
"['hoje', 'dar', 'vontade', 'abraçar', 'mãe', 'chorar', 'dia', 'inteiro', 'tpm', 'bem', 'vinda']",False,False,False,False,False,False
"['contar', 'ir', 'fazer', 'ano', 'abril', 'perder', 'todo', 'seguidor', 'recomeçar', 'suspender', 'dia', 'julho', 'enquanto', 'outro', 'lado', 'criminalidade', 'poder', 'todo', 'absurr', 'povo', 'honesto', 'trabalhador', 'poder', 'nada', 'adestrar', 'nunca']",False,False,False,False,False,False
"['encomendar', 'serviço']",False,False,False,False,False,False
"['favor', 'invadir', 'stf', 'chegar', 'mão', 'vazio']",False,True,True,False,False,False
"['Folha', 'Paulo', 'pra', 'eu', 'servir', 'pra', 'pendurar', 'banheiro', 'posto', 'gasolinar', 'pegar', 'mão', 'então', 'falar', 'achar', 'ler', 'fotonovela', 'ainda', 'existir', 'proveitoso']",False,False,True,False,False,False
"['dever', 'louco', 'defendi', 'inpe', 'conversa', 'cego', 'disléxica', 'achar', 'péssimo', 'exoneração', 'fazer', 'hoje', 'ciência', 'bom', 'trabalho', 'inpe', 'fazer', 'enfim', 'ir', 'perder', 'tempo', 'abraçar', 'datafolha', 'esperar', 'virar', 'haddad', 'ciro', 'segundo', 'turno', 'kkkkk']",False,True,True,False,True,False
"['nao', 'deixar', 'cabeça', 'fazer', 'maluco', 'corpo', 'lir', 'assim', 'todo', 'jeitinho', 'ir', 'praia', 'sim', 'hein', 'ir', 'dar', 'cara']",False,True,True,False,False,False
"['hormonio', 'pular']",False,True,False,False,False,False
"['hoje', 'caso', 'dormir', 'cedotipo', 'prender']",False,False,True,False,False,False
"['em esse', 'loucuraaaaaa', 'dizer', 'querooooooooo']",False,False,False,False,False,False
"['morador', 'terra', 'meio', 'par', 'conselheiro', 'ucs', 'poder', 'falar', 'segurança', 'dar', 'inpe', 'realmente', 'ser', 'manipular', 'ativiste', 'travestir', 'cientista', 'pra', 'prejudicar', 'imagem', 'governo', 'bolsonaro', 'ontem', 'ministro', 'Salles', 'provar']",True,False,True,False,False,False
"['bixete', 'vir', 'logo', 'favor']",False,True,False,False,False,False
"['outro', 'lado', 'gestor', 'consenso', 'jogar', 'contra', 'investimento', 'longo', 'prazo', 'provocar', 'categórico', 'posição', 'carregarer', 'ano', 'olho', 'fechar', 'itaú', 'qualquer', 'outro', 'banco', 'grande']",False,False,True,False,False,False
"['hora', 'colocar', 'fato', 'mesa']",False,False,False,False,False,False
"['gambenjar', 'gambás', 'contratar', 'ruimgil', 'ter', 'dinheiro', 'pra', 'pagar', 'marmita']",False,True,True,False,False,False
"['sair', 'casa', 'deitar', 'sofár', 'nada']",False,False,False,False,False,False
"['mano', 'super', 'bom', 'pensar', 'certo', 'coisa', 'fecho', 'cara', 'ninguém', 'entender']",False,False,False,False,False,False
"['parar', 'costa', 'praia', 'porque', 'fico', 'sempre', 'morena', 'costa', 'frente', 'pareçar', 'pacote']",False,False,False,False,False,False
"['respeitir', 'faxavor']",False,False,False,False,False,False
"['contra', 'fato', 'argumento', 'jair', 'assim', 'ficar', 'conhecido', 'Europa']",False,False,False,False,False,False
"['ahhhhhhhh', 'obg', 'kskskskskskks', 'dizer', 'horrível', 'cantar']",False,False,False,False,False,False
"['vivo', 'vido', 'enquanto', 'viver', 'dps', 'morrer', 'vivera']",False,False,False,False,False,False
"['pensar', 'coaf', 'acordar', 'alice', 'achar', 'engessar', 'somente', 'linha', 'investigação', 'achar', 'jornalista', 'esperto']",False,False,True,False,True,False
"['homem', 'feio', 'por', 'bonito']",False,False,False,False,False,False
"['falar', 'povo', 'nordestino', 'Maranhense', 'Moro', 'maranhão', 'importei', 'pouco', 'sair', 'bolha', 'otário', 'querer', 'dar', 'abraço', 'agradecer', 'presidente', 'fazer', 'deter', 'maconha']",False,False,True,False,False,True
"['passar', 'calor', 'aqui', 'lojar']",False,False,False,False,False,False
"['putz', 'sex', 'tape', 'pra', 'gravar', 'todo', 'dia']",False,True,False,False,False,False
"['esquecer', 'mencionar', 'turma', 'bem', 'agredir', 'ministro', 'presençar', 'criança', 'caber', 'segundo', 'estatuto', 'eca', 'covardia', 'chamar']",False,False,True,False,False,False
"['taoer', 'linda', 'parecer']",False,False,False,False,False,False
"['queiroz', 'ninguém', 'achar']",False,False,False,False,False,False
"['amo', 'homem']",False,False,False,False,False,False
"['fazer', 'papel', 'bom', 'amigo', 'marcar', 'Keylla', 'Memes']",False,False,False,False,False,False
"['vídeo', 'novo', 'turma', 'foto', 'bom', 'lacrador', 'perdoar', 'entender', 'chorumesfera', 'atacar', 'tanto', 'truculência', 'adolescente', 'apenas', 'postar', 'foto', 'viagem', 'escolar', 'compartilha', 'pra', 'tentar', 'reverter', 'dano', 'causar']",False,True,True,False,False,False
"['fazer', 'amorbotar', 'pra', 'moerso', 'voce']",False,True,False,False,False,False
"['candidato', 'rico', 'fazer', 'campanha', 'pobre', 'história', 'atacar', 'todo', 'político', 'burro', 'pois', 'anunciar', 'principal', 'ministro', 'antes', 'fim', 'primeiro', 'turno', 'deixar', 'margem', 'negociato', 'segundo', 'turno']",False,False,True,False,False,False
"['querer', 'kkk']",False,False,False,False,False,False
"['mês', 'certinho', 'ano']",False,False,False,False,False,False
"['sonsa', 'mãe', 'dois', 'fazer', 'postar', 'foto', 'facebook', 'fazer', 'kátia', 'cego', 'comentário', 'kkkkkkkkkkkkkkk', 'odio']",False,False,True,False,True,False
"['incrivel', 'foto', 'ficar', 'bom', 'cada', 'vez', 'vejo']",False,False,False,False,False,False
"['precisar', 'ficar', 'atento', 'método', 'utilizar', 'lava', 'jato', 'nada', 'ortodoxo', 'claramente', 'pacto', 'mediocridade', 'instituição', 'brasileiro', 'realmente', 'preciso', 'atento', 'jamais', 'esmorecer', 'obrigado', 'trabalho', 'demori']",False,False,False,False,False,False
"['jóia', 'nióbio', 'valer', 'quase', 'nada']",False,False,False,False,False,False
"['desgoverno', 'destruição', 'esconder', 'dado', 'ser', 'enganar', 'roubar', 'todo', 'lado', 'agora', 'certezar', 'covarde', 'ir', 'manipular', 'dar', 'apresentação', 'falso', 'realmente', 'presente', 'mostrar', 'contrário', 'destruição', 'visível', 'país']",False,False,True,True,False,False
"['velho', 'vcs', 'em esse', 'ainda', 'pqp']",False,True,False,False,False,False
"['levizinho', 'cidade', 'perfeito', 'pretender', 'voltar', 'logo', 'maisssss']",False,False,False,False,False,False
['foda'],False,True,False,False,False,False
