text,tokenized_text,homophobia,obscene,insult,racism,sexism,xenophobia
tipo lomotif quero fazer final ano,"['tipo', 'lomotif', 'querer', 'fazer', 'final', 'ano']",0,0,0,0,0,0
carioca exaltando rio janeiro coisas dao ranço vid,"['carioca', 'exaltar', 'rio', 'Janeiro', 'coisa', 'dao', 'ranço', 'vid']",0,0,0,0,0,0
dejen tomarse fotos trabajen verdad sean ridículos pasarán historia gobierno más nefasto existido,"['dejen', 'tomarse', 'foto', 'trabajen', 'verdad', 'Sean', 'ridículo', 'pasarán', 'historia', 'gobierno', 'más', 'nefasto', 'existido']",0,0,1,0,0,0
lembro nada sei queria fechar pau ontem kkkkkkkkkkk,"['lembro', 'nada', 'saber', 'querer', 'fechar', 'pau', 'ontem', 'kkkkkkkkkkk']",0,1,0,0,0,0
deve saber diferenciar gênero orientação sexual vem falar direções sexuais repulsa deve existir diz respeito relações simples fato outros homens relacionarem interferir nada vida sexualidade incomoda algo psicologicamente errado disse mostrado nenhum motivo racional contra video nenhum social menos fisiológico simplesmente gostar coisa precisa motivos amar repudiar razão algo totalmente alienado sobre marketing mostrou casal gay filho destaque comercial maior evento esportivo eua repercutindo mundo meia dúzia surtou sendo algo polêmico ignorantes matando dentro causa abraço homens citam mulheres ham pobre iludido preconceituoso tome américa norte pior usar boticário aqui,"['dever', 'saber', 'diferenciar', 'gênero', 'orientação', 'sexual', 'vir', 'falar', 'direção', 'sexual', 'repulsa', 'dever', 'existir', 'dizer', 'respeito', 'relação', 'simples', 'fato', 'outro', 'homem', 'relacionar', 'interferir', 'nada', 'vida', 'sexualidade', 'incomodo', 'algo', 'psicologicamente', 'errar', 'dizer', 'mostrar', 'nenhum', 'motivo', 'racional', 'contra', 'video', 'nenhum', 'social', 'menos', 'fisiológico', 'simplesmente', 'gostar', 'coisa', 'precisar', 'motivo', 'amar', 'repudiar', 'razão', 'algo', 'totalmente', 'alienar', 'sobre', 'marketing', 'mostrar', 'casal', 'gay', 'filho', 'destaque', 'comercial', 'grande', 'evento', 'esportivo', 'EUA', 'repercutir', 'mundo', 'meia', 'dúzia', 'surtar', 'ser', 'algo', 'polêmico', 'ignorante', 'matar', 'dentro', 'causa', 'abraço', 'homem', 'citar', 'mulher', 'ham', 'pobre', 'iludir', 'preconceituoso', 'tome', 'América', 'norte', 'mau', 'usar', 'boticário', 'aqui']",0,0,1,0,0,0
fufas tão falsas dói kkk,"['fufa', 'tão', 'falso', 'dói', 'kkk']",0,0,0,0,0,0
caralhoooo zoom porra jay filha puta certeza cuzao caraljo,"['caralhoooo', 'zoom', 'porra', 'jay', 'filha', 'puto', 'certezar', 'cuzao', 'caraljo']",0,1,1,0,0,0
adoro ler sobre casos bizarros fico mão medrosa pra tudo apsjslsjdlsjsk,"['adorar', 'ler', 'sobre', 'caso', 'bizarro', 'fico', 'mão', 'medroso', 'pra', 'tudo', 'apsjslsjdlsjsk']",0,1,0,0,0,0
cada instante sakura precisava salva alguém sendo desde inicio demonstrou super inteligente forte porra kishimoto url,"['cada', 'instante', 'sakura', 'precisar', 'salvo', 'alguém', 'ser', 'desde', 'inicio', 'demonstrar', 'super', 'inteligente', 'forte', 'porra', 'kishimoto', 'url']",0,1,0,0,0,0
fala bolsominion arrependido,"['falar', 'bolsominion', 'arrependir']",0,0,1,0,0,0
fico andando sol pra resolver coisas pra rosa ainda reclamar folgada porra,"['fico', 'andar', 'sol', 'pra', 'resolver', 'coisa', 'pra', 'rosa', 'ainda', 'reclamar', 'folgar', 'porra']",0,0,1,0,0,0
puta pariu jogão,"['puta', 'parir', 'jogão']",0,1,0,0,0,0
cara phoda,"['cara', 'phodo']",0,0,1,0,0,0
ridícula atitude ambos misericórdia pessoas assim,"['ridícular', 'atitude', 'ambos', 'misericórdio', 'pessoa', 'assim']",0,0,0,0,0,0
tristeza kkk bairro aqui poa toque kkk,"['tristeza', 'kkk', 'bairro', 'aqui', 'poa', 'toque', 'kkk']",0,0,0,0,0,0
cara novo povo terceiro triste,"['cara', 'novo', 'povo', 'terceiro', 'triste']",0,0,0,0,0,0
filho puta mato própria filha mano,"['Filho', 'putar', 'mato', 'próprio', 'filha', 'mano']",0,1,1,0,0,0
feikidoi,['feikidoi'],0,0,1,0,0,0
opinião pareceida filme merda peca alguns aspectos naum entendo tambem pode apaixonar alguma garota bella,"['opinião', 'pareceido', 'filme', 'merdar', 'pecar', 'algum', 'aspecto', 'naum', 'enter', 'tambem', 'poder', 'apaixonar', 'algum', 'garota', 'bello']",0,0,1,0,0,0
fazer precisa feito silêncio,"['fazer', 'precisa', 'fazer', 'silêncio']",0,0,0,0,0,0
papo reto memo porra carrinho meio corredor mercado espero fundo coração foda pau caralho,"['papo', 'reto', 'Memo', 'porra', 'carrinho', 'meio', 'corredor', 'mercado', 'esperar', 'fundo', 'coração', 'fodir', 'pau', 'caralho']",0,1,1,0,0,0
nome prints pavão melhor ficar quieta,"['nome', 'prints', 'pavão', 'melhor', 'ficar', 'quieta']",0,0,0,0,0,0
kkkkkk pqp anna clara,"['kkkkkk', 'pqp', 'anna', 'claro']",0,0,0,0,0,0
bom come莽o brexit 馃嚘馃嚭馃嚢馃嚲馃嚦馃嚳,"['bom', 'come莽o', 'brexit', '馃嚘馃嚭馃嚢馃嚲馃嚦馃嚳']",0,0,0,0,0,0
vcs sabiam incenso acender fósforo pode nada gás descobri tira energia incenso deixa cheiro fumaça achava normal ajjshshshshhs,"['vcs', 'saber', 'incenso', 'acender', 'fósforo', 'poder', 'nada', 'gás', 'descobrir', 'tir', 'energia', 'incenso', 'deixar', 'cheiro', 'fumaça', 'achar', 'normal', 'ajjshshshshhs']",0,0,0,0,0,0
connor desgraçado vir américa latina pra ter bastidores tour brasil vou casa aranco cabelos lindos aqui pedido socorro escutando,"['connor', 'desgraçar', 'vir', 'América', 'latino', 'pra', 'ter', 'bastidor', 'tour', 'Brasil', 'ir', 'casa', 'aranco', 'cabelo', 'linr', 'aqui', 'pedir', 'socorro', 'escutar']",0,0,1,0,0,0
vcs soltar algo sério ainda hoje,"['vcs', 'soltar', 'algo', 'sério', 'ainda', 'hoje']",0,0,0,0,0,0
hardware comunista,"['hardware', 'comunista']",0,0,1,0,0,0
