tokenized_text,health,ideology,insult,lgbtqphobia,other_lifestyle,physical_aspects,profanity_obscene,racism,sexism,xenophobia
"['mau', 'adolescentezinha', 'merdo', 'pessoa', 'levar', 'filme', 'tão', 'sério', 'livro', 'filme', 'fazer', 'quiser', 'ruim', 'render', 'milhão']",False,False,True,False,False,False,True,False,True,False
"['poder', 'ter', 'beijo', 'pra', 'ver', 'homofóbico', 'cortar', 'pulso']",False,False,True,False,False,False,False,False,False,False
"['Monark', 'racista', 'filha', 'putagem', 'sofrer', 'mano', 'flow', 'ir', 'cair', 'bah', 'foda', 'tudo']",False,False,True,False,False,False,False,False,False,False
"['fuder', 'mãe', 'acabar', 'chegar', 'casa', 'acabar', 'acordar', 'tomei']",False,False,True,False,False,False,True,False,False,False
"['vergonha', 'ainda', 'seguro', 'bandeira', 'país', 'verdade', 'puteiro', 'ter', 'aqui', 'preocupar', 'fama', 'Brasil', 'nunca', 'ver', 'apoio']",False,True,True,True,False,False,False,False,False,True
"['vagabunda', 'hipócrita', 'beijei', 'dois', 'então', 'geral', 'trair', 'poder', 'reclamar']",False,False,True,False,False,False,True,False,True,False
"['heterofobismo', 'saber', 'hétero', 'nunca', 'perseguir', 'morto', 'torturar', 'centena', 'ano', 'orientação', 'sexual', 'algum', 'país', 'oriente', 'gay', 'prender', 'vez', 'morto', 'causar', 'orientação', 'sexual', 'nunca', 'acontecer', 'ir', 'acontecer', 'hétero', 'implantaçãor', 'escola', 'ideia', 'existir', 'casal', 'diferente', 'ótima', 'conhecimento', 'arma', 'contra', 'ignorância', 'certeza', 'ir', 'ajudar', 'muito', 'criança', 'confuso', 'heterofobismo', 'estude', 'pouco', 'antes', 'abrir', 'boca', 'passar', 'vergonha', 'favor']",False,True,True,False,False,False,False,False,False,False
"['jajajajajaja', 'llevan', 'años', 'dicier', 'mismo', 'son', 'gente', 'ignorante', 'url']",False,False,True,False,False,False,False,False,False,False
"['pra', 'eu', 'kkkk', 'putar', 'histório', 'fantasioso']",False,False,True,False,False,False,True,False,False,False
"['desgraçar', 'mentiroso', 'acabar', 'dignidade']",False,False,True,False,False,False,True,False,False,False
"['ojalá', 'lina', 'indique', 'alguno', 'los', 'disneyr', 'así', 'aprenden', 'burro', 'hashtag']",False,False,True,False,False,False,False,False,False,False
